Station_Name,STATION_ID,Lat,Long,error_in_m,datum_period,station_datum,navd88,mhhw,mhw,mtl,msl,dtl,mlw,mllw,gt,mn
COMBINATION BRIDGE,8660854,33.7133,-78.9217,0.0131,03/01/1977 - 12/31/1977,NA,1.314,1.857,1.81,1.55,1.549,1.547,1.289,1.237,0.621,0.52
"HALIFAX RIVER, PONCE INLET",8721138,29.0817,-80.9367,0.0197,02/01/1974 - 01/31/1975,NA,1.581,1.862,1.78,1.36,1.355,1.38,0.941,0.897,0.965,0.839
"MOREHEAD CITY HARBOR, HARBOR CHANNEL",8656502,34.72,-76.710833,0.0105,05/01/1996 - 08/31/1996,NA,1.444,1.867,1.784,1.315,1.326,1.335,0.845,0.802,1.066,0.938
"CALICO JACKS MARINA, HARKER'S ISLAND",8656612,34.6867,-76.5333,0.0176,06/01/1977 - 10/31/1977,NA,1.674,1.899,1.838,1.576,1.581,1.592,1.315,1.286,0.613,0.523
"LEWISETTA, POTOMAC RIVER",8635750,37.996111,-76.464444,0,01/01/1983 - 12/31/2001,NA,1.707,1.913,1.87,1.68,1.685,1.683,1.49,1.454,0.458,0.379
CEDAR HEIGHTS,8720189,30.4367,-81.6417,0.0174,10/01/1977 - 01/31/1978,NA,1.53,1.928,1.883,1.428,1.441,1.438,0.973,0.948,0.98,0.91
KNIGHT KEY CHANNEL,8724008,24.7067,-81.125,0.0235,03/01/1975 - 03/31/1975,NA,2.057,1.93,1.858,1.749,1.753,1.769,1.64,1.608,0.321,0.218
"GARDEN CITY BRIDGE, MURRELLS INLET",8661419,33.5783,-79.0033,0.017,12/01/1974 - 11/30/1975,NA,1.284,1.938,1.817,1.168,1.177,1.209,0.519,0.481,1.457,1.298
"SOUTH END, LAKE RUDEE",8639219,36.825,-75.9817,0.0185,03/01/1984 - 06/30/1984,NA,1.47,1.941,1.838,1.322,1.328,1.35,0.805,0.759,1.182,1.033
KEY WEST,8724580,24.5557,-81.8079,0,01/01/1983 - 12/31/2001,NA,1.928,1.941,1.853,1.658,1.662,1.665,1.463,1.39,0.551,0.39
"YONGES ISLAND, WADMALAW RIVER",8666217,32.695,-80.2233,0.0139,05/01/1977 - 04/30/1978,NA,1.028,1.945,1.836,0.846,1.016,0.867,-0.143,-0.21,2.156,1.98
"MONTAUK, FORT POND BAY",8510560,41.0483,-71.96,0,01/01/1983 - 12/31/1992; 01/01/1994 - 12/31/2000,NA,1.655,1.947,1.86,1.545,1.554,1.562,1.229,1.177,0.771,0.631
MANASQUAN INLET,8532591,40.1017,-74.035,0.0093,11/01/1982 - 10/31/1984,NA,1.31,1.953,1.852,1.239,1.247,1.262,0.626,0.571,1.382,1.226
"CHERRY GROVE, INSIDE",8660265,33.835,-78.6333,0.0166,01/01/1975 - 12/31/1975,NA,1.23,1.957,1.836,1.124,1.134,1.164,0.412,0.371,1.586,1.424
"RUDEE HEIGHTS, LAKE WESLEY",8639214,36.825,-75.975,0.0184,03/01/1984 - 06/30/1984,NA,1.487,1.957,1.854,1.347,1.353,1.377,0.84,0.796,1.162,1.014
NORTH MYRTLE BEACH,8660642,33.7667,-78.815,0.0187,04/01/1977 - 07/31/1977,NA,1.406,1.959,1.893,1.622,1.604,1.631,1.351,1.302,0.657,0.541
LITTLE POTTSBURG CREEK,8720274,30.31,-81.61,0.0193,07/01/1978 - 11/30/1978,NA,1.657,1.96,1.928,1.62,1.614,1.624,1.311,1.287,0.673,0.617
"DESTIN, EAST PASS",8729511,30.395,-86.5133,0.0168,05/01/1992 - 02/28/1993,NA,1.74,1.963,1.961,1.871,1.863,1.87,1.78,1.777,0.186,0.181
"CRAMERS BOATYARD, MULLICA RIVER",8534212,39.5483,-74.4617,0.017,04/01/1978 - 10/31/1978,NA,1.469,1.971,1.89,1.442,1.477,1.459,0.994,0.947,1.024,0.897
"BUCKSPORT, WACCAMAW RIVER",8661139,33.6467,-79.095,0.002,01/01/1977 - 12/31/1991,NA,1.384,1.979,1.943,1.614,1.666,1.606,1.285,1.233,0.746,0.658
"SONOMA CK.ENTR.,SAN PABLO BAY",9415338,38.1567,-122.407,0.015,11/01/2012 - 02/28/2013,NA,0.022,1.98,1.8,1.164,1.151,1.153,0.528,0.325,1.655,1.272
"PURRYSBURG LANDING, SAVANNAH RIVER",8668701,32.3033,-81.1217,0.0228,07/01/1980 - 12/31/1980,NA,0.461,1.985,1.928,1.467,1.499,1.482,1.005,0.979,1.006,0.923
"BANDON, COQUILLE RIVER",9432373,43.12,-124.413,0.025,08/01/1977 - 10/31/1977,NA,-0.144,1.986,1.767,0.977,0.968,0.904,0.187,-0.176,2.163,1.58
"MORGANS POINT, BARBOURS CUT",8770613,29.6817,-94.985,0.0015,04/01/1997 - 03/31/2008; 12/01/2008 - 11/30/2009; 04/01/2010 - 03/31/2013,NA,1.621,1.989,1.967,1.796,1.807,1.789,1.625,1.59,0.398,0.343
"BEACON BEACH, ST ANDREW BAY",8729105,30.0917,-85.6483,0.0116,12/01/1983 - 04/30/1984,NA,1.753,1.989,1.975,1.79,1.787,1.788,1.604,1.587,0.403,0.371
"CRYSTAL RIVER, KINGS BAY",8727343,28.8983,-82.5983,0.0271,10/01/1978 - 12/31/1978,NA,1.643,1.996,1.912,1.638,1.64,1.64,1.364,1.284,0.712,0.549
"KIPTOPEKE, CHESAPEAKE BAY",8632200,37.16519,-75.988444,0,01/01/1983 - 12/31/2001,NA,1.685,2.001,1.932,1.535,1.539,1.553,1.139,1.105,0.896,0.793
"HARBOR OF REFUGE, CHINCOTEAGUE",8630316,37.9033,-75.4067,0.0247,07/01/1977 - 08/31/1977,NA,1.616,2.002,1.929,1.559,1.558,1.575,1.188,1.147,0.855,0.741
"NEW LONDON, THAMES RIVER",8461490,41.361389,-72.089972,0,01/01/1983 - 12/31/2001,NA,1.634,2.003,1.913,1.523,1.542,1.538,1.132,1.074,0.93,0.781
"ABSECON, ABSECON CREEK",8534540,39.4233,-74.5,0.0147,12/01/1977 - 11/30/1978,NA,1.401,2.006,1.895,1.306,1.345,1.337,0.717,0.669,1.337,1.178
ST. MARYS RIVER HEADWATERS,8720001,30.7867,-81.84,0.0234,12/01/1977 - 04/30/1978,NA,1.356,2.007,1.961,1.531,1.623,1.521,1.1,1.034,0.974,0.862
"MINK CREEK ENT., NASSAU RIVER",8720119,30.5367,-81.5817,0.0198,10/01/1978 - 10/31/1978; 02/01/1979 - 02/28/1979,NA,1.408,2.008,1.934,1.286,1.355,1.292,0.637,0.575,1.433,1.297
CAPE HATTERAS FISHING PIER,8654400,35.2233,-75.635,0,01/01/1983 - 12/31/2001,NA,1.588,2.017,1.908,1.452,1.453,1.489,0.997,0.961,1.056,0.911
"CUMBERLAND, SAMPIT RIVER",8662216,33.37,-79.4333,0.0159,03/01/1982 - 07/31/1982,NA,1.325,2.018,1.948,1.335,1.379,1.349,0.722,0.68,1.337,1.225
"BIG MARCO RIVER, U.S. 92",8724979,25.9333,-81.655,0.0164,03/01/1978 - 07/31/1978,NA,1.74,2.021,1.943,1.554,1.551,1.511,1.165,1,1.022,0.777
"DOCTORS LAKE, PEORIA POINT",8720406,30.12,-81.7583,0.0253,06/01/1978 - 10/31/1978,NA,1.86,2.021,2,1.879,1.873,1.882,1.757,1.743,0.278,0.243
"MAYPORT (FERRY DEPOT), SAINT JOHNS RIVER",8720220,30.3933,-81.4317,0,01/01/1983 - 11/30/2000,NA,1.466,2.032,1.951,1.272,1.285,1.291,0.593,0.549,1.483,1.357
"SOUTH ISLAND FERRY, WINYAH BAY",8662549,33.2517,-79.2683,0.0164,01/01/1977 - 12/31/1977,NA,1.442,2.036,1.948,1.386,1.393,1.408,0.824,0.78,1.256,1.124
"THE COVE, FT MOULTRIE, CHARLESTON HARBOR",8665637,32.7633,-79.8567,0.0114,04/01/1977 - 07/31/1977,NA,1.278,2.042,1.931,1.157,1.184,1.185,0.384,0.328,1.714,1.547
WILLTOWN BLUFF,8666367,32.6817,-80.4167,0.0146,06/01/1977 - 05/31/1978,NA,1.075,2.058,1.971,1.107,1.23,1.117,0.243,0.176,1.882,1.728
ST. AUGUSTINE,8720576,29.8917,-81.31,0.0089,01/01/1977 - 12/31/1978,NA,1.434,2.058,1.955,1.272,1.279,1.299,0.59,0.539,1.518,1.365
"MC CLELLANVILLE, JEREMY CREEK",8663618,33.0783,-79.46,0.0191,04/01/1976 - 06/30/1976,NA,1.298,2.062,1.944,1.204,1.204,1.237,0.464,0.412,1.65,1.48
"FOLLY RIVER BRIDGE, FOLLY RIVER",8666652,32.6617,-79.945,0.0111,02/01/1977 - 01/31/1978,NA,1.278,2.07,1.954,1.151,1.193,1.181,0.348,0.292,1.778,1.606
DAYTONA BEACH SHORES,8721120,29.1467,-80.9633,0.0076,01/01/1978 - 12/31/1983,NA,1.601,2.078,1.965,1.37,1.359,1.403,0.775,0.728,1.35,1.19
"ROCKPORT, ARANSAS BAY",8774770,28.0217,-97.0467,0,01/01/2002 - 12/31/2006,NA,1.682,2.078,2.077,2.022,2.025,2.022,1.968,1.967,0.111,0.109
"WACHAPREAGUE, WACHAPREAGUE CHANNEL",8631044,37.607778,-75.685833,0.0014,01/01/1983 - 12/31/1998,NA,1.509,2.08,1.981,1.369,1.401,1.393,0.756,0.705,1.376,1.225
"PALM BEACH, BRAZILIAN DOCK,",8722621,26.705,-80.045,0.0059,01/01/1977 - 12/31/1986,NA,1.938,2.09,2.033,1.642,1.634,1.647,1.25,1.203,0.887,0.783
"US HIGHWAY 17, SOUTH SANTEE RIVER",8662799,33.185,-79.4067,0.0036,01/01/1977 - 12/31/1988,NA,1.404,2.094,2.007,1.388,1.404,1.406,0.768,0.718,1.376,1.24
"ZEKES ISLAND, CAPE FEAR RIVER",8658741,33.95,-77.9517,0.0194,04/01/1976 - 06/30/1976,NA,1.532,2.104,2.006,1.383,1.39,1.408,0.76,0.712,1.393,1.246
"TROUT R., SHERWOOD FOREST",8720213,30.42,-81.7283,0.0192,09/01/1978 - 12/31/1978,NA,1.725,2.105,2.062,1.664,1.657,1.671,1.265,1.237,0.869,0.797
ST. MARKS CITY,8728151,30.155,-84.2033,0.0155,06/01/1977 - 06/30/1977,NA,1.554,2.111,2.033,1.612,1.604,1.551,1.191,0.991,1.12,0.843
ANASTASIA ISLAND,8720623,29.7933,-81.2717,0.0209,10/01/1978 - 10/31/1978,NA,1.46,2.119,2.021,1.33,1.349,1.352,0.639,0.585,1.533,1.383
CORSON INLET,8535101,39.215,-74.6483,0.014,11/01/1977 - 10/31/1978,NA,1.529,2.131,2.013,1.434,1.441,1.468,0.856,0.806,1.325,1.157
BENNETT'S DOCK,8661989,33.435,-79.1267,0.0135,08/01/1975 - 11/30/1975,NA,1.427,2.14,2.028,1.444,1.464,1.464,0.859,0.788,1.352,1.169
"PALM VALLEY, ICWW",8720398,30.1333,-81.3867,0.0201,09/01/1978 - 09/30/1978,NA,1.551,2.143,2.067,1.357,1.501,1.367,0.647,0.591,1.551,1.421
"SUNNY POINT, MOTSU NORTH WHARF",8658579,34.0233,-77.9467,0.0174,04/01/1976 - 06/30/1976,NA,1.545,2.144,2.048,1.416,1.432,1.44,0.783,0.735,1.408,1.265
FORT MATANZAS,8720686,29.715,-81.2383,0.0151,05/01/1974 - 04/30/1975,NA,1.627,2.146,2.051,1.464,1.487,1.483,0.876,0.82,1.326,1.175
"LANCEFORD CREEK, LOFTON",8720051,30.6433,-81.5233,0.0113,09/01/1978 - 12/31/1978,NA,1.263,2.153,2.039,1.075,1.11,1.102,0.111,0.051,2.102,1.928
"SEWELLS POINT, HAMPTON ROADS",8638610,36.946667,-76.33,0,01/01/1983 - 12/31/2001,NA,1.827,2.176,2.114,1.744,1.748,1.756,1.374,1.336,0.841,0.74
OAK LANDING,8720305,30.2533,-81.43,0.0186,09/01/1978 - 09/30/1978,NA,1.669,2.177,2.111,1.485,1.605,1.495,0.859,0.813,1.364,1.251
"BIG PARADISE ISLAND, WANDO RIVER",8664611,32.915,-79.7467,0.0136,06/01/1977 - 05/31/1978,NA,1.244,2.178,2.072,1.085,1.26,1.105,0.097,0.033,2.145,1.975
CRISFIELD,8571091,37.9767,-75.8633,0.0185,05/01/1977 - 11/30/1977,NA,1.876,2.179,2.128,1.844,1.828,1.851,1.56,1.523,0.657,0.567
"CRANDALL, ST. MARYS RIVER",8720004,30.7217,-81.6217,0.0154,02/01/1978 - 05/31/1978,NA,1.43,2.181,2.101,1.364,1.426,1.375,0.626,0.568,1.613,1.475
"BOGGY CREEK, UPPER NASSAU RIVER",8720084,30.5883,-81.6633,0.0213,03/01/1978 - 07/31/1978,NA,1.676,2.184,2.144,1.702,1.782,1.696,1.26,1.208,0.976,0.885
"REEDY POINT, C&D CANAL",8551910,39.558306,-75.573306,0,01/01/1983 - 12/31/1993; 01/01/1995 - 12/31/2001,NA,1.316,2.191,2.094,1.28,1.301,1.301,0.466,0.411,1.779,1.628
"PAWLEYS INLET, WARDS DOCK",8662071,33.4117,-79.135,0.022,12/01/1975 - 12/31/1975; 04/01/1976 - 06/30/1976; 08/01/1976 - 09/30/1976; 11/01/1976 - 11/30/1976,NA,1.587,2.228,2.131,1.624,1.649,1.645,1.118,1.063,1.165,1.013
PHOENIX PARK,8720225,30.3833,-81.6367,0.018,09/01/1977 - 01/31/1978,NA,1.914,2.246,2.206,1.824,1.821,1.832,1.442,1.418,0.828,0.764
"PUDDLEDOCK, APPOMATTOX RIVER",8638489,37.2667,-77.3717,0.0398,08/11/2003 - 09/15/2003,NA,1.859,2.265,2.198,1.772,1.822,1.782,1.346,1.299,0.966,0.852
"LEWES, FT. MILES",8557380,38.781694,-75.12,0,01/01/1983 - 12/31/2001,NA,1.649,2.266,2.138,1.517,1.528,1.557,0.896,0.848,1.418,1.242
"CAINHOY, WANDO RIVER",8664545,32.9267,-79.83,0.0097,05/01/1988 - 04/30/1989; 05/01/1997 - 04/30/1998,NA,1.365,2.271,2.166,1.249,1.352,1.272,0.332,0.273,1.998,1.834
"AMELIA CITY, SOUTH AMELIA RIVER",8720086,30.5867,-81.4633,0.0118,01/01/1978 - 12/31/1978,NA,1.476,2.271,2.166,1.345,1.354,1.372,0.524,0.473,1.798,1.643
"MUSSELBORO ISLAND, MOSQUITO CREEK",8667209,32.5783,-80.4483,0.0157,03/01/1978 - 02/28/1979,NA,1.354,2.273,2.18,1.231,1.366,1.247,0.283,0.222,2.051,1.896
"DAMES POINT, ST. JOHNS RIVER",8720219,30.3867,-81.5583,0.0141,01/01/2014 - 12/31/2014,NA,1.846,2.278,2.232,1.719,1.738,1.724,1.205,1.17,1.107,1.027
"HARBOR RIVER BRIDGE, ST. HELENA SOUND",8668146,32.4033,-80.4533,0.0144,02/01/1975 - 01/31/1976,NA,1.374,2.279,2.161,1.233,1.28,1.26,0.305,0.241,2.038,1.855
SAN SIMEON,9412553,35.6417,-121.188,0.0189,05/01/1978 - 07/31/1978,NA,0.615,2.281,2.064,1.534,1.523,1.482,1.005,0.683,1.598,1.058
"WINDSOR PLANTATION, BLACK RIVER",8662953,33.415,-79.25,0.0179,10/01/1975 - 09/30/1976,NA,1.73,2.293,2.226,1.702,1.73,1.713,1.177,1.134,1.159,1.05
"ALPINE, HUDSON RIVER",8530095,40.945,-73.9183,0.0136,03/01/1976 - 11/30/1976,NA,1.664,2.306,2.229,1.657,1.686,1.667,1.086,1.028,1.278,1.143
MONCRIEF CREEK ENTRANCE,8720217,30.3917,-81.6617,0.0221,10/01/1977 - 11/30/1977,NA,2.015,2.332,2.293,1.911,1.906,1.918,1.528,1.503,0.829,0.765
"CHATHAM, STAGE HARBOR",8447505,41.6667,-69.9667,0.0203,08/01/1992 - 09/30/1992,NA,1.767,2.344,2.232,1.63,1.661,1.647,1.028,0.949,1.396,1.203
"WINYAH BAY, SOUTH ISLAND PLANTATION",8662746,33.235,-79.2033,0.0013,01/01/1979 - 12/31/1991; 01/01/1993 - 12/31/1995,NA,1.722,2.352,2.259,1.678,1.671,1.7,1.097,1.047,1.305,1.162
"WASHINGTON, POTOMAC RIVER",8594900,38.87333,-77.021667,0,01/01/1983 - 12/31/2001,NA,1.812,2.353,2.284,1.859,1.859,1.87,1.434,1.387,0.965,0.849
SANDY HOOK,8531680,40.4669,-74.0094,0,01/01/1983 - 12/31/2001,NA,1.624,2.359,2.258,1.541,1.551,1.562,0.825,0.766,1.593,1.433
"YORKTOWN USCG TRAINING CENTER, YORK R.",8637689,37.226667,-76.478333,0.0059,07/01/2004 - 06/30/2016,NA,2.039,2.37,2.311,1.965,1.962,1.977,1.62,1.584,0.786,0.691
"ASSISCUNK CREEK, DELAWARE RIVER",8539058,40.0733,-74.8483,0.0196,10/01/1977 - 11/30/1977,NA,1.073,2.375,2.278,1.25,1.264,1.273,0.221,0.17,2.205,2.057
"SMITH CREEK, FLAGLER BEACH",8720833,29.4783,-81.1367,0.0356,01/01/1979 - 03/31/1979,NA,2.289,2.38,2.339,2.205,2.211,2.215,2.072,2.051,0.329,0.267
ORTEGA RIVER ENTRANCE,8720296,30.2783,-81.705,0.0226,08/01/1978 - 01/31/1979,NA,2.194,2.384,2.355,2.189,2.175,2.194,2.022,2.004,0.38,0.333
"RIBAULT RIVER, LAKE FOREST",8720216,30.3983,-81.6983,0.0209,06/01/1978 - 07/31/1978,NA,2.006,2.392,2.361,1.964,1.955,1.967,1.567,1.542,0.85,0.794
LITTLE ST. MARYS RIVER,8720006,30.7317,-81.7267,0.023,02/01/1985 - 02/28/1985,NA,1.756,2.397,2.339,1.688,1.784,1.694,1.037,0.991,1.405,1.302
"SANTA MONICA, PACIFIC OCEAN",9410840,34.0083,-118.5,0,01/01/1984 - 12/31/2001,NA,0.802,2.398,2.173,1.6,1.594,1.572,1.028,0.745,1.654,1.145
"CAPE MAY, CAPE MAY CANAL, DELAWARE BAY",8536110,38.968333,-74.96,0,01/01/1983 - 12/31/2001,NA,1.657,2.398,2.265,1.526,1.521,1.568,0.787,0.738,1.659,1.478
"MURPHY'S BOAT YARD, HOUSATONIC RIVER",8466664,41.275,-73.0883,0.0159,06/01/1993 - 08/31/1993,NA,1.218,2.4,2.298,1.255,1.198,1.268,0.211,0.136,2.265,2.087
"FRESHWATER SLOUGH, HUMBOLDT BAY",9418799,40.7983,-124.12,0.0153,05/01/1978 - 12/31/1978,NA,0.377,2.401,2.182,1.376,1.35,1.32,0.571,0.239,2.163,1.611
PABLO CREEK,8720267,30.3233,-81.4383,0.0139,09/01/1977 - 12/31/1977,NA,1.955,2.409,2.347,1.773,1.824,1.782,1.198,1.154,1.255,1.15
"EDISTO MARINA, BIG BAY CREEK",8667676,32.4933,-80.34,0.0169,05/01/1976 - 09/30/1976,NA,1.533,2.413,2.302,1.394,1.435,1.42,0.486,0.426,1.987,1.816
"KIAWAH BRIDGE, KIAWAH RIVER",8667062,32.6033,-80.1317,0.0124,05/01/1977 - 04/30/1978,NA,1.536,2.415,2.296,1.443,1.477,1.476,0.59,0.538,1.877,1.706
"GEN. DYNAMICS PIER, COOPER R.",8664022,33.0083,-79.9233,0.0012,01/01/1977 - 12/31/1992,NA,1.604,2.416,2.329,1.666,1.731,1.677,1.002,0.939,1.477,1.327
"OAKS CREEK, UPPER END, MURRELLS INLET",8661684,33.5117,-79.0683,0.0195,05/01/1975 - 01/31/1976,NA,1.736,2.416,2.292,1.629,1.67,1.661,0.966,0.906,1.509,1.327
"POMPESTON CREEK, DELAWARE RIVER",8538875,40.0133,-75.0083,0.0156,10/01/1977 - 11/30/1977,NA,1.222,2.419,2.313,1.34,1.354,1.377,0.366,0.334,2.085,1.948
"JACKSONVILLE, NAVY FUEL DEPOT",8720215,30.4,-81.6267,0.0178,09/01/1977 - 12/31/1977,NA,2.083,2.419,2.379,1.984,1.985,1.992,1.588,1.565,0.855,0.791
BREACH INLET,8665552,32.7767,-79.8117,0.0113,06/01/1975 - 05/31/1976,NA,1.699,2.432,2.317,1.564,1.579,1.592,0.812,0.752,1.68,1.505
NEW HAVEN,8465748,41.2933,-72.9167,0.0137,06/01/1988 - 09/30/1988,NA,1.469,2.438,2.339,1.394,1.393,1.405,0.448,0.372,2.065,1.892
"NORWICH, THAMES RIVER",8461392,41.5233,-72.0783,0.0141,07/01/1989 - 10/31/1989,NA,1.956,2.445,2.347,1.886,1.921,1.899,1.424,1.353,1.091,0.923
"PETERS POINT, ST. PIERRE CREEK",8667425,32.54,-80.34,0.014,02/01/1978 - 01/31/1979,NA,1.529,2.448,2.336,1.408,1.494,1.432,0.481,0.416,2.031,1.855
SIMPSON CREEK,8720168,30.465,-81.4317,0.0128,04/01/1978 - 08/31/1978,NA,1.74,2.463,2.358,1.584,1.601,1.618,0.81,0.772,1.691,1.548
"KINGSLEY CREEK, SEABOARD R.R.",8720058,30.6317,-81.4767,0.0123,05/01/1978 - 06/30/1978,NA,1.622,2.465,2.358,1.448,1.475,1.473,0.537,0.48,1.985,1.82
"CUNO, LOFTON CREEK",8720097,30.5767,-81.5717,0.023,03/01/1978 - 04/30/1978; 07/01/1978 - 07/31/1978,NA,1.963,2.47,2.418,1.881,1.961,1.876,1.344,1.283,1.187,1.075
"OCEAN CITY, FISHING PIER",8570280,38.3267,-75.0833,0.0047,11/01/1981 - 10/31/1991,NA,1.993,2.473,2.359,1.847,1.853,1.879,1.334,1.286,1.187,1.024
"ST. AUGUSTINE BEACH, ATLANTIC OCEAN",8720587,29.8567,-81.2633,0.0056,06/01/1992 - 05/31/2000,NA,1.872,2.485,2.37,1.668,1.658,1.701,0.965,0.916,1.569,1.405
"IMPERIAL BEACH, PACIFIC OCEAN",9410120,32.5783,-117.135,0.0084,01/01/1976 - 12/31/1978,NA,0.93,2.493,2.27,1.7,1.695,1.674,1.13,0.856,1.637,1.139
HAMLIN SOUND,8665167,32.8267,-79.7867,0.0112,04/01/1978 - 03/31/1979,NA,1.715,2.496,2.379,1.588,1.626,1.618,0.798,0.741,1.755,1.581
OAKLAND/ALAMEDA PARK ST. BRIDGE,9414746,37.7717,-122.235,0.011,12/01/2010 - 02/28/2011,NA,0.56,2.5,2.311,1.583,1.544,1.508,0.855,0.515,1.985,1.455
"GOOSE CREEK ENTRANCE, COOPER RIVER",8664662,32.91,-79.9517,0.0091,07/01/1987 - 06/30/1989,NA,1.662,2.5,2.398,1.574,1.648,1.596,0.75,0.691,1.808,1.648
"ELLIOTT CUT ENTRANCE, STONO RIVER",8665641,32.7633,-80.0017,0.0111,10/01/1974 - 09/30/1975,NA,1.727,2.503,2.405,1.621,1.708,1.637,0.837,0.77,1.734,1.568
"NASSAUVILLE, NASSAU RIVER EAST",8720098,30.5683,-81.515,0.013,01/01/1978 - 12/31/1978,NA,1.792,2.504,2.413,1.689,1.719,1.706,0.965,0.908,1.596,1.448
"FOLLY RIVER, NORTH",8666467,32.67,-79.9167,0.0112,02/01/1977 - 01/31/1978,NA,1.702,2.51,2.393,1.573,1.616,1.604,0.753,0.697,1.813,1.64
"FERNANDINA BEACH, AMELIA RIVER",8720030,30.6717,-81.465,0,01/01/1983 - 12/31/1994; 01/01/1997 - 12/31/2001,NA,1.683,2.517,2.41,1.493,1.522,1.517,0.575,0.518,1.999,1.834
NOWELL CREEK,8664701,32.9,-79.9,0.0121,07/01/1977 - 06/30/1978,NA,1.612,2.518,2.409,1.508,1.588,1.531,0.607,0.545,1.973,1.802
"KEARNY POINT, HACKENSACK RIVER",8530772,40.7283,-74.1033,0.0144,08/01/1994 - 10/31/1994,NA,1.699,2.522,2.422,1.627,1.66,1.641,0.833,0.759,1.764,1.589
"HAMLIN CREEK, ISLE OF PALMS",8665387,32.7867,-79.7917,0.0091,01/01/1975 - 12/31/1976,NA,1.772,2.527,2.41,1.642,1.669,1.671,0.874,0.815,1.712,1.537
"SALISBURY, WICOMICO RIVER",8571616,38.365,-75.6067,0.0286,04/01/1989 - 06/30/1989,NA,2.061,2.536,2.49,2.011,2.041,2.009,1.532,1.482,1.055,0.958
"PROVIDENCE, PROVIDENCE RIVER",8454000,41.8071,-71.4012,0,01/01/1983 - 12/31/2001,NA,1.818,2.539,2.464,1.791,1.749,1.802,1.119,1.064,1.476,1.346
"THE BATTERY, NEW YORK HARBOR",8518750,40.7006,-74.0142,0,01/01/1983 - 12/31/2001,NA,1.848,2.543,2.445,1.755,1.785,1.773,1.065,1.002,1.542,1.38
"PETALUMA RIVER, UPPER DRAWBRIDGE",9415584,38.2283,-122.613,0.0256,07/01/2014 - 10/31/2014,NA,0.614,2.547,2.406,1.612,1.656,1.533,0.818,0.519,2.028,1.588
WIMBEE CREEK,8667199,32.5783,-80.67,0.0159,12/01/1977 - 11/30/1978,NA,1.611,2.547,2.45,1.476,1.634,1.492,0.502,0.437,2.109,1.948
"JACKSONBORO CAMP, SOUTH EDISTO RIVER",8665737,32.7533,-80.45,0.0164,06/01/1978 - 12/31/1978,NA,1.613,2.565,2.501,1.886,1.965,1.889,1.271,1.212,1.353,1.23
"FULTON, ST. JOHNS RIVER",8720221,30.39,-81.5067,0.0133,10/01/1977 - 02/28/1978,NA,2.091,2.565,2.503,1.952,1.96,1.968,1.402,1.372,1.193,1.102
"RICHMOND PLANTATION, E. BR. COOPER RIVER",8663665,33.0767,-79.855,0.0146,09/01/1976 - 08/31/1977,NA,1.778,2.566,2.505,2.098,2.134,2.09,1.692,1.614,0.952,0.813
"CLAMBANK CREEK DOCK, GOAT ISLAND",8662299,33.3333,-79.1933,0.0148,05/01/1976 - 04/30/1977,NA,1.908,2.567,2.46,1.745,1.799,1.769,1.03,0.971,1.596,1.429
FORT GEORGE ISLAND,8720186,30.44,-81.4383,0.0122,04/01/1978 - 09/30/1978,NA,1.894,2.579,2.488,1.76,1.787,1.783,1.031,0.988,1.591,1.456
"PORT MORRIS, EAST 138TH ST.",8518639,40.8017,-73.9067,0.0124,08/01/2000 - 07/31/2001,NA,1.566,2.582,2.475,1.525,1.523,1.537,0.574,0.493,2.089,1.901
"COSGROVE BRIDGE, ASHLEY RIVER",8665101,32.835,-79.9867,0.0112,04/01/1976 - 10/31/1976,NA,1.767,2.588,2.483,1.634,1.697,1.656,0.784,0.724,1.865,1.699
"OAKLAND AIRPORT, SAN FRANCISCO BAY",9414711,37.7317,-122.208,0.0129,04/01/1977 - 06/30/1977,NA,0.606,2.593,2.4,1.637,1.62,1.563,0.875,0.533,2.059,1.525
"FIELDSBORO, DELAWARE RIVER",8539487,40.1367,-74.7367,0.0159,04/01/1977 - 01/31/1978,NA,1.152,2.593,2.482,1.278,1.303,1.302,0.073,0.012,2.581,2.409
"BELLEVILLE, PASSAIC RIVER",8530591,40.7867,-74.1467,0.0173,08/01/1994 - 10/31/1994,NA,1.663,2.597,2.493,1.64,1.649,1.654,0.787,0.711,1.886,1.706
"CHARLESTON, COOPER RIVER ENTRANCE",8665530,32.7817,-79.925,0,01/01/1983 - 12/31/2001,NA,1.8,2.6,2.491,1.695,1.733,1.721,0.9,0.843,1.757,1.591
"SANTA BARBARA, PACIFIC OCEAN",9411340,34.4083,-119.685,0.0039,01/01/1991 - 12/31/1997; 11/01/2005 - 10/31/2007; 04/01/2008 - 03/31/2010; 06/01/2010 - 05/31/2015,NA,0.991,2.609,2.379,1.821,1.815,1.786,1.263,0.964,1.645,1.116
"BLOODY POINT, NEW RIVER",8669801,32.0817,-80.8783,0.0126,05/01/1981 - 07/31/1981,NA,1.624,2.622,2.51,1.478,1.519,1.503,0.446,0.384,2.238,2.063
"DRAYTON, BEES FERRY, ASHLEY RIVER",8665002,32.8483,-80.0517,0.012,07/01/1988 - 06/30/1989,NA,1.762,2.627,2.53,1.663,1.744,1.681,0.795,0.735,1.891,1.735
PABLO CREEK ENTRANCE,8720232,30.3767,-81.4483,0.0129,09/01/1977 - 09/30/1977,NA,2.112,2.629,2.549,1.964,1.989,1.989,1.379,1.349,1.28,1.17
